Couple,File_1,File_2,Kappa
Mario-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,0.212
Hao-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,0.256
Jinane-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.296
Mario-Jinane,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.224
Hao-Jinane,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.324
Mario-Hao,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,0.366
Mario-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,0.170
Hao-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,0.085
Jinane-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.238
Mario-Jinane,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.173
Hao-Jinane,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.255
Mario-Hao,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,0.138
Mario-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,0.254
Hao-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,0.361
Jinane-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.081
Mario-Jinane,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.141
Hao-Jinane,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.079
Mario-Hao,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,0.308
Mario-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,0.178
Hao-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,0.418
Jinane-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.248
Mario-Jinane,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.221
Hao-Jinane,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.247
Mario-Hao,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,0.211
Mario-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,0.167
Hao-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,0.020
Jinane-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.238
Mario-Jinane,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.131
Hao-Jinane,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.090
Mario-Hao,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,0.032
Mario-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Mario/deepseek/sheet_39_annotations_JAKIMOSKI.csv,0.061
Hao-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Hao/deepseek/sheet_39_annotations_Hao_Deepseek.csv,0.097
Jinane-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Jinane/deepseek/sheet_39_annotations_HARCHAL.csv,0.154
Mario-Jinane,Mario/deepseek/sheet_39_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_39_annotations_HARCHAL.csv,0.109
