Couple,File_1,File_2,Kappa
Mario-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,0.167
Hao-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,0.219
Jinane-Axel,Axel/deepseek/sheet_10_annotations_FELTEN.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.326
Mario-Jinane,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.215
Hao-Jinane,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_10_annotations_HARCHAL.csv,0.347
Mario-Hao,Mario/deepseek/sheet_10_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_10_annotations_Hao_Deepseek.csv,0.405
Mario-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,0.171
Hao-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,0.074
Jinane-Axel,Axel/deepseek/sheet_13_annotations_FELTEN.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.259
Mario-Jinane,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.182
Hao-Jinane,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_13_annotations_HARCHAL.csv,0.293
Mario-Hao,Mario/deepseek/sheet_13_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_13_annotations_Hao_Deepseek.csv,0.157
Mario-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,0.315
Hao-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,0.380
Jinane-Axel,Axel/deepseek/sheet_19_annotations_FELTEN.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.036
Mario-Jinane,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.162
Hao-Jinane,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_19_annotations_HARCHAL.csv,0.219
Mario-Hao,Mario/deepseek/sheet_19_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_19_annotations_Hao_Deepseek.csv,0.359
Mario-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,0.151
Hao-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,0.321
Jinane-Axel,Axel/deepseek/sheet_30_annotations_FELTEN.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.224
Mario-Jinane,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.236
Hao-Jinane,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_30_annotations_HARCHAL.csv,0.321
Mario-Hao,Mario/deepseek/sheet_30_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_30_annotations_Hao_Deepseek.csv,0.176
Mario-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,0.193
Hao-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,-0.070
Jinane-Axel,Axel/deepseek/sheet_38_annotations_FELTEN.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.263
Mario-Jinane,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.161
Hao-Jinane,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_38_annotations_HARCHAL.csv,0.124
Mario-Hao,Mario/deepseek/sheet_38_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_38_annotations_Hao_Deepseek.csv,-0.006
Mario-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Mario/deepseek/sheet_39_annotations_JAKIMOSKI.csv,0.115
Hao-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Hao/deepseek/sheet_39_annotations_Hao_Deepseek.csv,0.117
Jinane-Axel,Axel/deepseek/sheet_39_annotations_FELTEN.csv,Jinane/deepseek/sheet_39_annotations_HARCHAL.csv,0.263
Mario-Jinane,Mario/deepseek/sheet_39_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_39_annotations_HARCHAL.csv,0.179
Hao-Jinane,Hao/deepseek/sheet_39_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_39_annotations_HARCHAL.csv,0.159
Mario-Hao,Mario/deepseek/sheet_39_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_39_annotations_Hao_Deepseek.csv,0.223
