File;w-units;s-units;u-units;Nb Speakers
FLD;4927;265;140;9
HDJ;8258;399;283;2
HE8;6010;717;437;2
HEA;3105;262;162;2
HEC;2789;182;69;2
HF3;10059;880;180;2
HV5;4045;264;115;2
HV6;3875;257;257;2
J8D;21826;2358;2358;8
J9D;15461;818;349;10
JJG;20197;688;266;11
K69;8427;266;190;2
KBL_040501;246;60;40;2
KD2_061610;362;62;49;5
KDA_011605;1027;53;37;2
KDB_014817;279;58;42;6
KE4_067607;334;59;44;2
KGH;16667;1611;1159;11
KNV_137903;255;49;41;5
KPW_133301;309;52;33;2
KRF_fixed_1;2372;69;19;2
KRF_Fixed_3;2744;86;24;2
KRG_fixed_13;2461;82;19;2
KRG_fixed_9;2255;80;35;2
KRH_fixed_16;2386;84;33;2
KRH_fixed_23;2428;88;17;2
KRH_Fixed_25;2504;83;25;2
KRH_Fixed_27;2575;69;15;2
KRH_fixed_34;2321;77;17;2
KS0;11688;482;192;14
G3U;13276;1152;649;11
J3T;10882;573;369;8
JJ9;10453;465;195;10
JJA;9604;495;229;11
KBE_009101;450;68;65;7
KCD_005214;387;41;31;2
KDE_007113;339;41;28;2
KDM_030302;381;44;59;5
KE3_011211;251;41;41;2
KJS;9927;304;184;19
KPY_136604;529;60;72;6
KRH_fixed_37;3944;89;19;2
KRL_fixed_4;8887;352;193;5
KS7_fixed_4;10119;423;144;19
KSN_135904;237;41;2;2
FL4;4906;341;227;11
FL7;5364;380;244;11
FLH;5037;430;290;11
H5G;17107;986;820;2
HV1;5691;464;394;11
JN7;6692;486;383;7
KDB_064002;205;43;29;2
KBK_002334;282;41;40;2
KC6_055705;349;67;43;5
KC6_055905;523;59;70;8
KCE_029701;416;62;70;5
KD1_034501;479;55;61;6
KLV;16990;1172;842;10
KRL_fixed_3;7355;370;182;6
HES;7940;450;100;2
