type;subcategory;file_name;title;info_title;w_units;s_units;full_extent;nb_participants;participants_occupations;participants_dialects;participants_sex;spontaneity;activity;location;text_classification;keywords;year;tag_usage
Dialogue;Leisure;HEA;Orkney Sound Archive tape OSA 55: interview for oral history project;Sample containing about 3032 words speech recorded in leisure context;3105;262;"3032 tokens;3105 w-units;262 s-units";2;None:2;XSD:2;"f:1;m:1";;Interview for oral history project Interview/reminiscences;;S interview oral history;"folklore;Stories about witches, trolls, ghosts";1985;"align:39;c:268;event:1;gap:2;mw:22;pause:54;s:262;trunc:11;u:126;unclear:97;vocal:23;w:3105"
Dialogue;Leisure;HEC;Orkney Sound Archive tape OSA/RO/A: interview;Sample containing about 2757 words speech recorded in leisure context;2789;182;"2757 tokens;2789 w-units;182 s-units";2;None:2;XSD:2;f:2;;Interview Interview/reminiscences;Radio broadcast;S interview oral history;"history;Memories of Stromness early in the century, memories of both world wars.";1985;"align:12;c:268;event:3;gap:2;mw:9;pause:3;s:182;shift:6;trunc:10;u:69;unclear:58;vocal:1;w:2789"
Dialogue;Leisure;HV6;Orkney Sound Archive tape OSA/RO/D: radio broadcast;Sample containing about 3833 words speech recorded in leisure context;3875;257;"3833 tokens;3875 w-units;257 s-units";2;None:2;XSD:2;"f:1;m:1";;Radio broadcast Interview, reminiscences;Radio Orkney;S interview oral history;"history;Sea transport, 1952 hurricane, communications by sea.";1993;"align:23;c:248;event:4;gap:5;mw:29;pause:6;s:257;shift:20;trunc:2;u:113;unclear:63;vocal:6;w:3875"
Dialogue;Informative;J8D;Teachers' conference: discussing tutorial programme;Sample containing about 20655 words speech recorded in educational context;21826;2358;"20655 tokens;21826 w-units;2358 s-units";8;None:8;"XMW:1;NONE:7";"m:1;u:7";;discussing tutorial programme;Ralph Gardner high school;S meeting;"education;finishing tutorial programme";1992;"align:2365;c:2556;gap:29;mw:127;pause:1194;s:2358;shift:54;trunc:276;u:2215;unclear:273;vocal:39;w:21826"
Dialogue;Public;JJG;Wiltshire County Council: committee meeting;Sample containing about 19650 words speech recorded in public context;20197;688;"19650 tokens;20197 w-units;688 s-units";11;None:11;NONE:11;"m:9;u:2";;committee meeting debate;Council chamber;S meeting;"government;policy and resources";1994;"align:62;c:2548;event:7;gap:151;mw:155;pause:39;s:688;shift:22;trunc:63;u:266;unclear:135;vocal:20;w:20197"
Dialogue;Unclassified;KBL_040501;40 conversations recorded by `Cherrilyn' (PS06A) between 21 and 26 February 1992 with 9 interlocutors, totalling 5508 s-units, 27294 words (duration not recorded).;;246;60;"246 w-units;60 s-units";2;None:2;XSL:2;f:2;;;;S conv;(none);1992;"align:12;c:61;div:1;event:0;gap:0;mw:1;pause:10;s:60;shift:0;trunc:0;u:40;unclear:16;vocal:1;w:246"
Dialogue;Unclassified;KD2_061610;22 conversations recorded by `Linda' (PS0J1) between 30 January and 2 February 1992 with 9 interlocutors, totalling 3761 s-units, 19822 words (duration not recorded).;;362;62;"362 w-units;62 s-units";5;None:5;"XNC:4;NONE:1";"f:3;m:1;u:1";;;;S conv;(none);1992;"align:10;c:66;div:1;event:0;gap:1;mw:4;pause:10;s:62;shift:4;trunc:1;u:49;unclear:9;vocal:2;w:362"
Dialogue;Unclassified;KDB_014817;27 conversations recorded by `Mikila' (PS0KY) on 28 November 1991 with 10 interlocutors, totalling 2759 s-units, 16597 words, and 1 hour 55 minutes 44 seconds of recordings.;;279;58;"279 w-units;58 s-units";6;None:6;"XHC:2;XOT:2;NONE:2";"f:2;u:4";;;;S conv;(none);1991;"align:4;c:57;div:1;event:0;gap:0;mw:7;pause:9;s:58;shift:0;trunc:0;u:42;unclear:12;vocal:1;w:279"
Dialogue;Unclassified;KE4_067607;22 conversations recorded by `Valerie' (PS0WN) between 30 January and ?? ?? 1992 with 7 interlocutors, totalling 3280 s-units, 15170 words, and 1 hour 55 minutes 21 seconds of recordings.;;334;59;"334 w-units;59 s-units";2;None:2;XSD:2;"f:1;m:1";;;;S conv;(none);1992;"align:6;c:67;div:1;event:2;gap:0;mw:0;pause:17;s:59;shift:2;trunc:1;u:44;unclear:5;vocal:2;w:334"
Dialogue;Leisure;KGH;BBC Radio Nottingham: radio broadcast;Sample containing about 15903 words speech recorded in leisure context;16667;1611;"15903 tokens;16667 w-units;1611 s-units";11;None:11;NONE:11;"m:6;f:3;u:2";;Radio broadcast  Interview, discussion, phone-in, reporting;Radio broadcasting studio;S brdcast discussn;Various;1993;"align:702;c:2145;event:21;gap:156;mw:110;pause:6;s:1611;shift:128;trunc:200;u:1159;unclear:165;vocal:90;w:16667"
